WY, flow(cfs)
1912, 1420.25506885
1913, 1480.71495029
1914, 2801.44587641
1915, 2974.12923641
1916, 2079.24016932
1917, 898.809296853
1918, 832.234409137
1919, 1587.81728365
1920, 563.864314389
1921, 2478.34440496
1922, 1081.77635816
1923, 947.273827387
1924, 367.507735962
1925, 2069.30155867
1926, 1115.63665249
1927, 2520.26601682
1928, 1460.11994045
1929, 729.43880706
1930, 1124.52618757
1931, 554.781528547
1932, 994.261369951
1933, 1108.62441053
1934, 942.166485804
1935, 1332.83670603
1936, 1414.37472422
1937, 1379.46535432
1938, 2905.22153592
1939, 791.320461969
1940, 2226.11074889
1941, 3516.28044726
1942, 2489.85662896
1943, 1529.27610621
1944, 902.936580997
1945, 1445.68134776
1946, 1952.79895607
1947, 1010.96375729
1948, 1663.80624423
1949, 1512.55991524
1950, 1178.33272133
1951, 2222.35616265
1952, 2508.68477469
1953, 2225.80706912
1954, 2187.29495286
1955, 1014.29043113
1956, 2798.00877356
1957, 1494.93268497
1958, 3718.28270868
1959, 1438.19978252
1960, 1414.95447651
1961, 1681.7509579
1962, 1439.30407259
1963, 2204.72893237
1964, 1098.72721076
1965, 2339.21765952
1966, 1857.01559595
1967, 2281.67034314
1968, 1396.65086856
1969, 2416.73882257
1970, 2196.29491695
1971, 2300.63652513
1972, 1598.19761033
1973, 1919.04909075
1974, 3654.8688513
1975, 1939.96158399
1976, 926.485566782
1977, 276.666073914
1978, 2836.78315871
1979, 1176.8281261
1980, 2032.94280805
1981, 1192.66088501
1982, 2783.73582438
1983, 4127.86389639
1984, 2152.28895758
1985, 1156.34354527
1986, 2188.71258524
1987, 1215.46861609
1988, 1301.58529699
1989, 1468.76239063
1990, 992.281929997
1991, 672.214495529
1992, 1241.74105726
1993, 2438.74870407
1994, 720.525805816
1995, 3129.28475226
1996, 2035.99755046
1997, 2042.01593135
1998, 3704.59503324
1999, 1934.23307924
2000, 2140.82228554
2001, 1013.15715345
2002, 1695.19983061
2003, 2541.85902882
2004, 2092.27079217
2005, 2016.09962373
2006, 3480.73611057
2007, 1082.12420953
2008, 1252.3146347
2009, 1141.47013836
2010, 2209.64854464
2011, 2599.21309443
2012, 1484.4046595
2013, 1180.14513741
